<<<<<<< HEAD
city,place_type,location,date_time,temp_celsius,rain_1h,clouds_all,day,hour,month,dayofweek,event_density,footfall
Cuddalore,theater,Theater near Cuddalore,2024-06-12 18:00:00,29.0,3.06,51,12,18,6,2,0.0,891
Madurai,theater,Theater near Madurai,2024-02-17 10:00:00,28.8,0.65,11,17,10,2,5,0.2,494
Tiruchirappalli,college,College near Tiruchirappalli,2024-10-23 00:00:00,23.8,0.39,66,23,0,10,2,0.0,1249
Tiruchirappalli,mall,Mall near Tiruchirappalli,2024-03-11 14:00:00,35.2,0.93,20,11,14,3,0,0.0,1495
Vellore,bus_stop,Bus_Stop near Vellore,2024-10-13 18:00:00,28.3,2.51,34,13,18,10,6,0.0,4627
Villupuram,mall,Mall near Villupuram,2024-09-18 07:00:00,34.4,2.87,47,18,7,9,2,0.0,1631
Salem,railway_station,Railway_Station near Salem,2024-03-09 12:00:00,27.0,0.32,70,9,12,3,5,0.0,2875
Salem,stadium,Stadium near Salem,2024-07-24 18:00:00,31.0,0.18,72,24,18,7,2,0.0,1731
Karur,college,College near Karur,2024-01-04 17:00:00,30.4,1.74,27,4,17,1,3,0.0,1140
Tiruchirappalli,park,Park near Tiruchirappalli,2024-04-12 18:00:00,25.1,0.43,38,12,18,4,4,0.0,1121
Kanyakumari,college,College near Kanyakumari,2024-01-23 22:00:00,33.3,4.92,43,23,22,1,1,0.0,988
Tiruchirappalli,mall,Mall near Tiruchirappalli,2024-09-05 17:00:00,36.6,0.94,53,5,17,9,3,0.0,3665
Nagercoil,theater,Theater near Nagercoil,2024-07-17 18:00:00,28.9,0.71,0,17,18,7,2,0.0,523
Kanyakumari,theater,Theater near Kanyakumari,2024-07-30 21:00:00,29.7,2.26,3,30,21,7,1,0.5,1052
Ramanathapuram,stadium,Stadium near Ramanathapuram,2024-05-21 21:00:00,34.1,0.05,20,21,21,5,1,0.0,1615
Madurai,mall,Mall near Madurai,2024-06-20 02:00:00,36.4,2.65,73,20,2,6,3,0.0,1549
Kanchipuram,mall,Mall near Kanchipuram,2024-06-13 21:00:00,28.2,2.69,13,13,21,6,3,0.0,3249
Erode,tourist_spot,Tourist_Spot near Erode,2024-01-01 22:00:00,25.7,1.53,1,1,22,1,0,0.0,1041
Tiruppur,college,College near Tiruppur,2024-06-18 02:00:00,31.1,4.24,38,18,2,6,1,1.0,2335
Nagercoil,metro_station,Metro_Station near Nagercoil,2024-11-29 09:00:00,33.5,0.53,0,29,9,11,4,0.0,6104
Kanchipuram,hospital,Hospital near Kanchipuram,2024-07-05 16:00:00,27.7,1.05,16,5,16,7,4,0.0,788
Chennai,mall,Mall near Chennai,2024-04-12 22:00:00,19.2,0.15,37,12,22,4,4,0.0,2005
Cuddalore,metro_station,Metro_Station near Cuddalore,2024-09-26 04:00:00,27.4,1.22,97,26,4,9,3,0.0,2546
Villupuram,temple,Temple near Villupuram,2024-04-21 14:00:00,27.5,0.32,0,21,14,4,6,0.0,1727
Vellore,bus_stop,Bus_Stop near Vellore,2024-08-19 02:00:00,20.3,2.41,17,19,2,8,0,0.5,3580
Nagercoil,railway_station,Railway_Station near Nagercoil,2024-06-05 14:00:00,34.6,0.62,53,5,14,6,2,0.2,2972
Villupuram,railway_station,Railway_Station near Villupuram,2024-11-01 07:00:00,28.0,0.44,40,1,7,11,4,0.0,8017
Vellore,tourist_spot,Tourist_Spot near Vellore,2024-04-17 01:00:00,31.3,2.96,52,17,1,4,2,0.0,954
Villupuram,park,Park near Villupuram,2024-11-20 12:00:00,26.7,3.01,83,20,12,11,2,0.2,669
Vellore,theater,Theater near Vellore,2024-06-09 07:00:00,22.2,0.41,48,9,7,6,6,0.0,253
Nagercoil,stadium,Stadium near Nagercoil,2024-12-23 01:00:00,30.2,0.61,100,23,1,12,0,0.0,397
Cuddalore,college,College near Cuddalore,2024-01-28 09:00:00,43.7,0.04,45,28,9,1,6,0.0,699
Sivakasi,stadium,Stadium near Sivakasi,2024-01-22 03:00:00,28.3,3.92,67,22,3,1,0,0.0,531
Thoothukudi,mall,Mall near Thoothukudi,2024-05-25 09:00:00,26.1,0.49,35,25,9,5,5,0.0,2136
Salem,park,Park near Salem,2024-06-07 04:00:00,33.4,0.16,53,7,4,6,4,0.0,599
Tirunelveli,bus_stop,Bus_Stop near Tirunelveli,2024-05-31 14:00:00,31.4,0.71,16,31,14,5,4,0.0,2400
Kanyakumari,park,Park near Kanyakumari,2024-03-19 16:00:00,23.0,1.49,4,19,16,3,1,0.0,721
Tiruchirappalli,theater,Theater near Tiruchirappalli,2024-12-03 23:00:00,34.7,0.44,30,3,23,12,1,0.5,1008
Kanyakumari,stadium,Stadium near Kanyakumari,2024-11-14 14:00:00,26.3,1.29,6,14,14,11,3,0.0,436
Vellore,hospital,Hospital near Vellore,2024-09-02 11:00:00,27.4,4.26,18,2,11,9,0,0.0,1019
Nagercoil,bus_stop,Bus_Stop near Nagercoil,2024-04-03 21:00:00,29.9,1.13,69,3,21,4,2,0.0,2911
Tiruchirappalli,bus_stop,Bus_Stop near Tiruchirappalli,2024-11-24 13:00:00,31.8,2.04,63,24,13,11,6,0.0,2216
Erode,theater,Theater near Erode,2024-11-20 16:00:00,37.8,0.57,34,20,16,11,2,0.0,308
Erode,railway_station,Railway_Station near Erode,2024-12-18 02:00:00,26.7,0.1,55,18,2,12,2,0.0,2943
Erode,metro_station,Metro_Station near Erode,2024-06-29 16:00:00,26.4,0.34,75,29,16,6,5,0.0,2812
Kanchipuram,mall,Mall near Kanchipuram,2024-11-21 16:00:00,31.2,0.96,58,21,16,11,3,0.0,1654
Karur,stadium,Stadium near Karur,2024-11-22 22:00:00,30.3,0.42,52,22,22,11,4,0.5,2548
Kanchipuram,stadium,Stadium near Kanchipuram,2024-02-14 14:00:00,37.4,0.14,64,14,14,2,2,0.0,458
Tiruppur,railway_station,Railway_Station near Tiruppur,2024-01-13 04:00:00,36.0,0.29,29,13,4,1,5,0.0,2712
Tirunelveli,railway_station,Railway_Station near Tirunelveli,2024-10-21 03:00:00,32.1,7.15,20,21,3,10,0,0.5,3908
Madurai,tourist_spot,Tourist_Spot near Madurai,2024-07-08 01:00:00,27.3,2.28,49,8,1,7,0,0.0,1191
Salem,park,Park near Salem,2024-10-30 01:00:00,23.5,0.83,50,30,1,10,2,0.0,724
Vellore,college,College near Vellore,2024-05-02 12:00:00,35.9,0.15,11,2,12,5,3,0.2,2356
Ramanathapuram,temple,Temple near Ramanathapuram,2024-06-14 07:00:00,30.2,3.0,62,14,7,6,4,0.0,2272
Tiruchirappalli,mall,Mall near Tiruchirappalli,2024-03-06 03:00:00,31.8,7.8,12,6,3,3,2,0.0,1810
Nagercoil,bus_stop,Bus_Stop near Nagercoil,2024-12-24 22:00:00,37.9,0.3,33,24,22,12,1,0.0,3115
Thoothukudi,park,Park near Thoothukudi,2024-09-30 02:00:00,26.5,0.33,2,30,2,9,0,0.0,818
Pollachi,park,Park near Pollachi,2024-03-02 00:00:00,35.2,0.98,0,2,0,3,5,0.0,718
Nagercoil,metro_station,Metro_Station near Nagercoil,2024-12-17 11:00:00,32.6,4.14,36,17,11,12,1,0.0,2728
Kanyakumari,temple,Temple near Kanyakumari,2024-09-21 02:00:00,39.5,0.23,43,21,2,9,5,0.0,1718
Erode,metro_station,Metro_Station near Erode,2024-06-22 01:00:00,31.9,1.37,0,22,1,6,5,0.0,3881
Kanchipuram,park,Park near Kanchipuram,2024-03-09 05:00:00,25.3,0.23,11,9,5,3,5,0.0,579
Tiruppur,bus_stop,Bus_Stop near Tiruppur,2024-04-17 17:00:00,32.7,6.05,45,17,17,4,2,0.5,9020
Cuddalore,mall,Mall near Cuddalore,2024-07-20 08:00:00,35.2,0.6,31,20,8,7,5,0.0,2572
Villupuram,hospital,Hospital near Villupuram,2024-05-15 20:00:00,31.7,0.82,98,15,20,5,2,0.0,688
Karur,bus_stop,Bus_Stop near Karur,2024-04-29 03:00:00,30.5,1.01,0,29,3,4,0,0.0,2596
Madurai,railway_station,Railway_Station near Madurai,2024-02-06 01:00:00,31.9,0.23,0,6,1,2,1,0.0,2673
Kanyakumari,temple,Temple near Kanyakumari,2024-10-01 00:00:00,34.2,2.53,3,1,0,10,1,0.0,1343
Karur,bus_stop,Bus_Stop near Karur,2024-06-04 19:00:00,27.2,2.41,94,4,19,6,1,0.0,4965
Erode,bus_stop,Bus_Stop near Erode,2024-02-18 05:00:00,28.2,0.76,28,18,5,2,6,0.0,3054
Kanyakumari,theater,Theater near Kanyakumari,2024-05-14 12:00:00,31.2,0.38,47,14,12,5,1,0.0,347
Kanchipuram,railway_station,Railway_Station near Kanchipuram,2024-08-10 06:00:00,29.6,4.25,32,10,6,8,5,0.0,3417
Kanchipuram,park,Park near Kanchipuram,2024-07-01 09:00:00,38.6,1.05,39,1,9,7,0,0.0,451
Madurai,college,College near Madurai,2024-03-06 00:00:00,28.3,2.07,70,6,0,3,2,0.0,1026
Madurai,stadium,Stadium near Madurai,2024-05-10 15:00:00,30.6,0.06,18,10,15,5,4,0.0,429
Erode,tourist_spot,Tourist_Spot near Erode,2024-06-15 06:00:00,29.4,0.59,56,15,6,6,5,0.0,1273
Chennai,tourist_spot,Tourist_Spot near Chennai,2024-02-10 22:00:00,31.9,0.89,21,10,22,2,5,0.0,1545
Dindigul,stadium,Stadium near Dindigul,2024-04-20 02:00:00,25.2,0.64,46,20,2,4,5,0.0,553
Nagercoil,tourist_spot,Tourist_Spot near Nagercoil,2024-12-27 11:00:00,24.8,2.38,0,27,11,12,4,0.5,2456
Salem,railway_station,Railway_Station near Salem,2024-06-02 19:00:00,31.5,0.19,88,2,19,6,6,0.0,4962
Chennai,temple,Temple near Chennai,2024-06-08 14:00:00,23.9,4.7,60,8,14,6,5,0.0,1501
Kanyakumari,mall,Mall near Kanyakumari,2024-03-03 17:00:00,32.0,0.12,48,3,17,3,6,0.0,5024
Karur,college,College near Karur,2024-05-25 00:00:00,38.4,0.01,56,25,0,5,5,0.0,416
Salem,hospital,Hospital near Salem,2024-12-15 19:00:00,32.0,0.35,100,15,19,12,6,0.2,835
Pollachi,tourist_spot,Tourist_Spot near Pollachi,2024-05-15 18:00:00,31.8,1.79,55,15,18,5,2,0.2,1684
Nagercoil,theater,Theater near Nagercoil,2024-10-30 03:00:00,28.3,0.31,27,30,3,10,2,0.2,317
Kanchipuram,bus_stop,Bus_Stop near Kanchipuram,2024-04-23 23:00:00,38.6,0.94,22,23,23,4,1,0.0,3479
Pollachi,mall,Mall near Pollachi,2024-09-22 20:00:00,29.7,0.23,0,22,20,9,6,0.0,3059
Thoothukudi,college,College near Thoothukudi,2024-05-13 01:00:00,27.5,13.14,100,13,1,5,0,0.2,1462
Chennai,bus_stop,Bus_Stop near Chennai,2024-07-28 20:00:00,29.1,0.08,55,28,20,7,6,0.0,3024
Nagercoil,bus_stop,Bus_Stop near Nagercoil,2024-05-20 02:00:00,31.4,0.02,33,20,2,5,0,0.0,3690
Nagercoil,hospital,Hospital near Nagercoil,2024-03-23 19:00:00,29.2,1.09,79,23,19,3,5,0.5,1059
Pollachi,stadium,Stadium near Pollachi,2024-10-15 17:00:00,24.9,1.16,85,15,17,10,1,0.0,512
Cuddalore,park,Park near Cuddalore,2024-04-22 14:00:00,35.2,0.41,45,22,14,4,0,0.0,703
Ramanathapuram,theater,Theater near Ramanathapuram,2024-02-11 17:00:00,32.3,0.22,0,11,17,2,6,0.0,366
Tiruchirappalli,college,College near Tiruchirappalli,2024-01-19 08:00:00,27.9,2.22,0,19,8,1,4,0.0,1941
Karur,tourist_spot,Tourist_Spot near Karur,2024-12-04 01:00:00,33.3,3.4,28,4,1,12,2,0.0,1083
Tirunelveli,college,College near Tirunelveli,2024-10-15 20:00:00,22.0,0.73,0,15,20,10,1,0.0,1474
Nagercoil,tourist_spot,Tourist_Spot near Nagercoil,2024-08-21 18:00:00,27.1,2.65,59,21,18,8,2,1.0,3105
Tirunelveli,hospital,Hospital near Tirunelveli,2024-12-26 17:00:00,25.9,0.6,14,26,17,12,3,0.0,1001
Ramanathapuram,temple,Temple near Ramanathapuram,2024-05-22 14:00:00,33.0,1.22,5,22,14,5,2,0.0,1585
Pollachi,metro_station,Metro_Station near Pollachi,2024-02-17 00:00:00,34.4,2.32,0,17,0,2,5,0.0,2157
Pollachi,college,College near Pollachi,2024-11-18 05:00:00,31.2,3.63,55,18,5,11,0,0.2,1549
Madurai,metro_station,Metro_Station near Madurai,2024-02-18 20:00:00,35.7,1.13,45,18,20,2,6,0.0,2820
Thoothukudi,railway_station,Railway_Station near Thoothukudi,2024-05-14 16:00:00,33.2,0.2,36,14,16,5,1,0.2,3473
Karur,theater,Theater near Karur,2024-11-19 12:00:00,34.5,0.72,57,19,12,11,1,1.0,609
Kanyakumari,bus_stop,Bus_Stop near Kanyakumari,2024-09-12 22:00:00,27.9,1.52,49,12,22,9,3,1.0,6005
Thoothukudi,temple,Temple near Thoothukudi,2024-12-24 12:00:00,29.1,0.07,34,24,12,12,1,0.0,1199
Madurai,theater,Theater near Madurai,2024-07-23 08:00:00,21.4,3.71,32,23,8,7,1,0.2,360
Pollachi,college,College near Pollachi,2024-07-03 13:00:00,24.6,1.06,47,3,13,7,2,0.0,2974
Thoothukudi,metro_station,Metro_Station near Thoothukudi,2024-10-08 09:00:00,29.0,3.01,28,8,9,10,1,0.0,5904
Dindigul,college,College near Dindigul,2024-10-12 12:00:00,32.4,1.36,40,12,12,10,5,0.0,731
Karur,bus_stop,Bus_Stop near Karur,2024-11-07 22:00:00,28.3,0.41,23,7,22,11,3,0.0,3701
Salem,theater,Theater near Salem,2024-10-07 03:00:00,33.5,0.31,0,7,3,10,0,0.0,364
Sivakasi,college,College near Sivakasi,2024-09-24 03:00:00,23.1,0.72,60,24,3,9,1,0.0,1380
Thoothukudi,railway_station,Railway_Station near Thoothukudi,2024-03-08 12:00:00,28.5,3.16,5,8,12,3,4,0.0,2554
Madurai,stadium,Stadium near Madurai,2024-10-17 17:00:00,29.0,2.75,36,17,17,10,3,0.2,562
Ramanathapuram,tourist_spot,Tourist_Spot near Ramanathapuram,2024-07-04 15:00:00,28.2,4.56,66,4,15,7,3,0.0,1478
Erode,mall,Mall near Erode,2024-02-01 00:00:00,32.6,0.39,84,1,0,2,3,0.0,1411
Cuddalore,theater,Theater near Cuddalore,2024-03-16 00:00:00,25.7,4.67,38,16,0,3,5,0.0,284
Salem,hospital,Hospital near Salem,2024-04-05 19:00:00,31.4,2.89,43,5,19,4,4,0.0,691
Villupuram,hospital,Hospital near Villupuram,2024-10-01 00:00:00,27.5,0.35,41,1,0,10,1,0.0,881
Ramanathapuram,temple,Temple near Ramanathapuram,2024-08-06 22:00:00,28.4,4.48,17,6,22,8,1,0.0,1807
Sivakasi,mall,Mall near Sivakasi,2024-01-06 05:00:00,24.7,0.42,17,6,5,1,5,0.0,2164
Madurai,temple,Temple near Madurai,2024-09-18 05:00:00,24.5,2.4,21,18,5,9,2,0.0,2792
Nagercoil,stadium,Stadium near Nagercoil,2024-08-05 06:00:00,25.7,0.14,40,5,6,8,0,0.0,472
Ramanathapuram,theater,Theater near Ramanathapuram,2024-11-25 07:00:00,30.5,4.79,21,25,7,11,0,0.0,265
Villupuram,bus_stop,Bus_Stop near Villupuram,2024-04-15 06:00:00,39.5,4.59,49,15,6,4,0,0.0,3076
Tirunelveli,park,Park near Tirunelveli,2024-06-29 11:00:00,24.5,1.59,56,29,11,6,5,0.0,471
Erode,railway_station,Railway_Station near Erode,2024-05-25 16:00:00,39.0,1.7,0,25,16,5,5,0.0,3057
Ramanathapuram,railway_station,Railway_Station near Ramanathapuram,2024-01-11 19:00:00,26.6,2.44,13,11,19,1,3,0.0,4474
Pollachi,theater,Theater near Pollachi,2024-03-12 20:00:00,30.8,1.84,15,12,20,3,1,0.0,588
Thoothukudi,tourist_spot,Tourist_Spot near Thoothukudi,2024-07-30 08:00:00,27.9,5.61,0,30,8,7,1,0.0,1194
Thoothukudi,park,Park near Thoothukudi,2024-03-05 03:00:00,31.9,2.91,86,5,3,3,1,0.2,765
Tiruchirappalli,college,College near Tiruchirappalli,2024-08-05 13:00:00,30.1,3.12,72,5,13,8,0,0.5,3267
Tirunelveli,hospital,Hospital near Tirunelveli,2024-09-29 23:00:00,27.4,1.59,13,29,23,9,6,0.0,906
Erode,bus_stop,Bus_Stop near Erode,2024-10-21 05:00:00,27.0,0.89,45,21,5,10,0,0.0,2758
Kanchipuram,park,Park near Kanchipuram,2024-03-05 12:00:00,31.7,1.88,40,5,12,3,1,0.0,748
Thoothukudi,metro_station,Metro_Station near Thoothukudi,2024-12-02 19:00:00,26.5,1.89,28,2,19,12,0,0.0,4670
Sivakasi,tourist_spot,Tourist_Spot near Sivakasi,2024-09-30 03:00:00,31.1,0.02,13,30,3,9,0,0.2,945
Villupuram,bus_stop,Bus_Stop near Villupuram,2024-10-15 16:00:00,28.3,2.2,0,15,16,10,1,0.0,3352
Coimbatore,mall,Mall near Coimbatore,2024-03-22 07:00:00,27.3,3.66,27,22,7,3,4,0.0,2329
Vellore,railway_station,Railway_Station near Vellore,2024-06-27 02:00:00,24.2,1.86,66,27,2,6,3,0.0,3226
Kanchipuram,metro_station,Metro_Station near Kanchipuram,2024-07-07 04:00:00,37.7,5.66,37,7,4,7,6,0.0,3365
Madurai,railway_station,Railway_Station near Madurai,2024-03-01 08:00:00,32.8,0.62,66,1,8,3,4,0.0,6786
Kanchipuram,theater,Theater near Kanchipuram,2024-11-28 01:00:00,25.8,0.1,0,28,1,11,3,0.0,329
Ramanathapuram,railway_station,Railway_Station near Ramanathapuram,2024-04-23 11:00:00,30.8,1.17,4,23,11,4,1,0.0,3959
Kanchipuram,metro_station,Metro_Station near Kanchipuram,2024-10-05 22:00:00,29.9,1.82,94,5,22,10,5,0.0,3260
Salem,mall,Mall near Salem,2024-01-21 01:00:00,33.7,0.12,32,21,1,1,6,0.0,2099
Coimbatore,mall,Mall near Coimbatore,2024-04-21 21:00:00,27.0,1.66,64,21,21,4,6,0.0,4839
Cuddalore,hospital,Hospital near Cuddalore,2024-03-18 16:00:00,38.1,0.1,0,18,16,3,0,0.0,920
Chennai,metro_station,Metro_Station near Chennai,2024-09-08 02:00:00,30.1,3.62,62,8,2,9,6,0.2,4163
Kanyakumari,theater,Theater near Kanyakumari,2024-03-27 01:00:00,23.9,1.35,41,27,1,3,2,1.0,564
Erode,bus_stop,Bus_Stop near Erode,2024-11-24 23:00:00,29.4,2.29,57,24,23,11,6,0.0,3742
Kanchipuram,temple,Temple near Kanchipuram,2024-11-16 05:00:00,27.6,0.7,10,16,5,11,5,0.0,3155
Tiruppur,park,Park near Tiruppur,2024-02-27 00:00:00,27.4,1.13,30,27,0,2,1,0.0,618
Pollachi,railway_station,Railway_Station near Pollachi,2024-06-02 01:00:00,32.2,3.6,13,2,1,6,6,0.0,3230
Thoothukudi,hospital,Hospital near Thoothukudi,2024-01-27 20:00:00,37.6,1.38,48,27,20,1,5,0.2,848
Coimbatore,mall,Mall near Coimbatore,2024-06-04 00:00:00,30.7,4.2,0,4,0,6,1,0.5,2452
Kanyakumari,bus_stop,Bus_Stop near Kanyakumari,2024-05-10 06:00:00,29.5,1.57,18,10,6,5,4,0.0,1621
Cuddalore,hospital,Hospital near Cuddalore,2024-03-30 19:00:00,36.0,0.55,19,30,19,3,5,0.0,896
Tiruppur,stadium,Stadium near Tiruppur,2024-12-22 20:00:00,32.3,1.99,23,22,20,12,6,0.2,2167
Madurai,park,Park near Madurai,2024-02-17 17:00:00,31.9,4.16,34,17,17,2,5,0.0,1133
Kanchipuram,metro_station,Metro_Station near Kanchipuram,2024-03-05 22:00:00,29.4,2.18,57,5,22,3,1,0.2,3265
Villupuram,park,Park near Villupuram,2024-09-28 05:00:00,33.6,0.53,36,28,5,9,5,0.0,601
Tirunelveli,railway_station,Railway_Station near Tirunelveli,2024-07-29 08:00:00,21.2,0.11,0,29,8,7,0,0.0,5521
Villupuram,tourist_spot,Tourist_Spot near Villupuram,2024-09-16 18:00:00,32.5,1.26,61,16,18,9,0,0.0,1695
Pollachi,metro_station,Metro_Station near Pollachi,2024-06-22 07:00:00,34.9,1.21,61,22,7,6,5,0.0,5208
Tirunelveli,theater,Theater near Tirunelveli,2024-08-08 23:00:00,26.1,0.28,42,8,23,8,3,0.2,809
Thoothukudi,theater,Theater near Thoothukudi,2024-02-23 04:00:00,29.1,1.8,48,23,4,2,4,0.5,391
Salem,park,Park near Salem,2024-09-06 00:00:00,34.6,0.48,74,6,0,9,4,0.0,363
Tiruppur,metro_station,Metro_Station near Tiruppur,2024-03-07 02:00:00,27.7,2.12,14,7,2,3,3,0.0,2928
Kanyakumari,mall,Mall near Kanyakumari,2024-07-26 18:00:00,33.9,1.71,4,26,18,7,4,0.0,3731
Ramanathapuram,park,Park near Ramanathapuram,2024-12-07 22:00:00,30.5,0.88,30,7,22,12,5,0.5,918
Kanchipuram,metro_station,Metro_Station near Kanchipuram,2024-10-28 13:00:00,22.6,0.34,48,28,13,10,0,0.0,2099
Tiruppur,theater,Theater near Tiruppur,2024-05-24 23:00:00,26.6,0.5,23,24,23,5,4,0.0,723
Cuddalore,tourist_spot,Tourist_Spot near Cuddalore,2024-10-09 13:00:00,32.7,0.95,4,9,13,10,2,0.0,1299
Tiruchirappalli,theater,Theater near Tiruchirappalli,2024-11-05 02:00:00,34.8,2.87,30,5,2,11,1,0.0,282
Ramanathapuram,mall,Mall near Ramanathapuram,2024-09-27 06:00:00,41.5,0.93,9,27,6,9,4,0.0,1842
Pollachi,temple,Temple near Pollachi,2024-12-07 02:00:00,31.4,3.23,34,7,2,12,5,0.0,1546
Salem,railway_station,Railway_Station near Salem,2024-02-23 00:00:00,29.6,2.76,40,23,0,2,4,0.0,2583
Tiruppur,college,College near Tiruppur,2024-08-07 18:00:00,33.2,5.12,3,7,18,8,2,0.0,1380
Cuddalore,railway_station,Railway_Station near Cuddalore,2024-10-19 23:00:00,22.7,0.28,11,19,23,10,5,0.0,3563
Kanyakumari,college,College near Kanyakumari,2024-01-08 21:00:00,29.6,0.38,38,8,21,1,0,0.0,1116
Vellore,bus_stop,Bus_Stop near Vellore,2024-11-26 12:00:00,36.7,2.96,40,26,12,11,1,0.0,3702
Nagercoil,tourist_spot,Tourist_Spot near Nagercoil,2024-11-11 07:00:00,23.1,1.12,5,11,7,11,0,0.0,587
Tiruppur,metro_station,Metro_Station near Tiruppur,2024-03-11 08:00:00,36.5,0.57,10,11,8,3,0,0.0,5955
Erode,college,College near Erode,2024-06-12 09:00:00,33.8,1.56,15,12,9,6,2,0.0,1953
Madurai,hospital,Hospital near Madurai,2024-08-05 21:00:00,33.0,2.33,29,5,21,8,0,0.0,669
Chennai,metro_station,Metro_Station near Chennai,2024-11-05 05:00:00,38.8,0.96,74,5,5,11,1,0.0,2871
Salem,hospital,Hospital near Salem,2024-10-01 02:00:00,32.1,0.34,65,1,2,10,1,0.0,815
Salem,mall,Mall near Salem,2024-01-20 09:00:00,21.2,0.53,70,20,9,1,5,0.0,2446
Ramanathapuram,stadium,Stadium near Ramanathapuram,2024-10-03 15:00:00,32.5,0.6,0,3,15,10,3,0.2,477
Kanchipuram,mall,Mall near Kanchipuram,2024-11-28 07:00:00,33.1,0.99,42,28,7,11,3,0.0,1949
Erode,stadium,Stadium near Erode,2024-09-01 14:00:00,30.5,4.06,46,1,14,9,6,0.0,425
Nagercoil,stadium,Stadium near Nagercoil,2024-03-12 14:00:00,26.2,1.95,66,12,14,3,1,0.0,447
Salem,theater,Theater near Salem,2024-10-28 15:00:00,34.2,0.21,2,28,15,10,0,0.0,273
Kanchipuram,temple,Temple near Kanchipuram,2024-11-27 13:00:00,31.1,4.24,35,27,13,11,2,1.0,2729
Chennai,tourist_spot,Tourist_Spot near Chennai,2024-10-22 15:00:00,36.5,0.4,14,22,15,10,1,1.0,3599
Tiruppur,park,Park near Tiruppur,2024-04-15 01:00:00,23.4,3.48,58,15,1,4,0,0.0,629
Tirunelveli,railway_station,Railway_Station near Tirunelveli,2024-12-06 09:00:00,19.6,0.64,56,6,9,12,4,0.0,7027
Kanchipuram,mall,Mall near Kanchipuram,2024-07-15 14:00:00,26.7,0.15,7,15,14,7,0,0.2,1977
Kanyakumari,tourist_spot,Tourist_Spot near Kanyakumari,2024-10-13 01:00:00,29.8,3.37,0,13,1,10,6,0.0,1392
Kanchipuram,bus_stop,Bus_Stop near Kanchipuram,2024-08-06 08:00:00,31.1,1.15,71,6,8,8,1,0.0,5339
Karur,mall,Mall near Karur,2024-03-01 08:00:00,32.1,0.25,83,1,8,3,4,0.0,1382
Tirunelveli,tourist_spot,Tourist_Spot near Tirunelveli,2024-01-05 13:00:00,29.8,0.57,0,5,13,1,4,0.0,1398
Sivakasi,metro_station,Metro_Station near Sivakasi,2024-11-11 15:00:00,34.5,6.35,87,11,15,11,0,0.0,2429
Sivakasi,college,College near Sivakasi,2024-10-04 14:00:00,28.3,0.5,8,4,14,10,4,0.0,1946
Tirunelveli,hospital,Hospital near Tirunelveli,2024-09-18 11:00:00,28.1,1.12,12,18,11,9,2,0.5,1041
Sivakasi,stadium,Stadium near Sivakasi,2024-10-15 02:00:00,31.6,2.79,0,15,2,10,1,0.0,473
Kanyakumari,temple,Temple near Kanyakumari,2024-11-04 22:00:00,32.4,1.8,64,4,22,11,0,0.0,1088
Salem,stadium,Stadium near Salem,2024-03-22 21:00:00,31.5,3.27,58,22,21,3,4,0.0,1773
Dindigul,metro_station,Metro_Station near Dindigul,2024-12-15 13:00:00,26.3,2.78,0,15,13,12,6,0.0,3108
Tirunelveli,college,College near Tirunelveli,2024-09-04 03:00:00,40.8,0.13,83,4,3,9,2,0.0,1403
Pollachi,park,Park near Pollachi,2024-09-22 22:00:00,34.4,0.31,52,22,22,9,6,0.0,668
Cuddalore,mall,Mall near Cuddalore,2024-01-04 00:00:00,29.4,0.18,54,4,0,1,3,0.0,1894
Coimbatore,park,Park near Coimbatore,2024-05-26 00:00:00,31.3,0.01,100,26,0,5,6,0.0,495
Ramanathapuram,tourist_spot,Tourist_Spot near Ramanathapuram,2024-04-07 04:00:00,23.4,0.13,74,7,4,4,6,0.0,1169
Tirunelveli,theater,Theater near Tirunelveli,2024-08-25 11:00:00,23.5,3.75,25,25,11,8,6,0.0,354
Karur,stadium,Stadium near Karur,2024-05-02 22:00:00,30.1,0.48,45,2,22,5,3,0.2,1760
Thoothukudi,theater,Theater near Thoothukudi,2024-03-24 18:00:00,22.4,2.34,15,24,18,3,6,0.0,743
Cuddalore,stadium,Stadium near Cuddalore,2024-03-24 00:00:00,37.1,0.52,48,24,0,3,6,0.0,315
Kanchipuram,theater,Theater near Kanchipuram,2024-02-09 06:00:00,26.6,2.56,46,9,6,2,4,0.0,294
Sivakasi,temple,Temple near Sivakasi,2024-09-28 12:00:00,28.1,0.69,60,28,12,9,5,0.0,1622
Kanchipuram,park,Park near Kanchipuram,2024-08-28 09:00:00,29.0,0.94,41,28,9,8,2,0.5,838
Tiruchirappalli,bus_stop,Bus_Stop near Tiruchirappalli,2024-08-06 00:00:00,36.6,2.47,50,6,0,8,1,0.0,2834
Tirunelveli,tourist_spot,Tourist_Spot near Tirunelveli,2024-03-24 12:00:00,31.1,0.42,74,24,12,3,6,0.0,1915
Nagercoil,theater,Theater near Nagercoil,2024-02-22 22:00:00,24.4,2.5,47,22,22,2,3,0.0,853
Pollachi,college,College near Pollachi,2024-08-13 14:00:00,35.0,0.65,75,13,14,8,1,0.0,2860
Sivakasi,metro_station,Metro_Station near Sivakasi,2024-06-07 21:00:00,22.1,0.18,64,7,21,6,4,0.0,2713
Ramanathapuram,stadium,Stadium near Ramanathapuram,2024-07-06 20:00:00,22.7,3.13,37,6,20,7,5,0.0,1446
